 What is your age? ,What is your gender?  , What is your occupation?   , How many hours do you play video games per day on average?  ,How many days per week do you play games?  , What type of games do you mostly play?  ,Do you often lose track of time while gaming?  ,Have you ever skipped meals or sleep due to gaming?   ,Have others ever expressed concern about your gaming habits?  ,"On a scale of 1 to 10, how stressed do you feel on average?  ","On a scale of 1 to 10, how anxious do you feel regularly?  ","On average, how many hours of sleep do you get per night?  ",How often do you feel socially withdrawn or isolated?  ,Have you ever felt guilty or depressed after long gaming sessions?  ,Do you think gaming helps you cope with stress or emotional issues?  ,Do you consent to your responses being used anonymously for academic research?   
23,Male,Social Media Manager,1,6,MMO,Yes,No,Yes,3,5,7.1,Sometimes,No,Yes,Yes
20,Male,College Student,2,7,Puzzle,Yes,Yes,Yes,2,4,6.9,Always,Yes,Yes,Yes
18,Male,Student,5,4,MMO,Yes,Yes,Yes,8,1,7.1,Sometimes,No,Yes,Yes
22,Female,College Freshman,5,7,Battle Royale,Yes,Yes,No,7,9,4.8,Often,No,No,Yes
19,Male,IT Support,3,5,Puzzle,Yes,No,Yes,3,5,7.3,Often,Yes,No,Yes
31,Female,Operations Executive,3,2,Creative,Yes,Yes,No,8,7,5.4,Often,No,No,Yes
30,Prefer not to say,HS Senior,1,5,Adventure,Yes,No,Yes,4,6,5.1,Rarely,No,Yes,Yes
23,Female,Pharmacy Tech,1,4,FPS,Yes,Yes,No,8,6,6.1,Often,Yes,No,Yes
24,Female,Student,7,1,Racing,Yes,No,No,8,7,5.1,Often,Yes,Yes,Yes
17,Prefer not to say,Student,1,6,RPG,Yes,Yes,No,7,7,2.9,Sometimes,Yes,No,Yes
17,Prefer not to say,Librarian,5,4,Puzzle,Yes,No,No,8,1,6.2,Often,No,Yes,Yes
18,Female,IT Consultant,3,4,FPS,Yes,Yes,Yes,3,7,5.3,Often,Yes,No,Yes
22,Male,High School Junior,6,2,MMO,Yes,No,No,10,3,5.1,Sometimes,No,Yes,Yes
22,Male,Registered Nurse,1,7,Racing,Yes,Yes,Yes,6,5,5.9,Often,Yes,Yes,Yes
18,Male,Unemployed,2,5,Casual,Yes,Yes,Yes,5,7,6.9,Sometimes,No,No,Yes
17,Male,Airline Captain,3,6,Sports,Yes,Yes,Yes,3,10,8.2,Often,Yes,No,Yes
19,Other,Art History Major,7,4,RPG,Yes,No,Yes,3,4,5.4,Sometimes,Yes,Yes,Yes
17,Male,College Athlete,5,7,Educational,No,Yes,No,6,9,6.0,Often,No,No,Yes
21,Male,Drink,4,3,Battle Royale,Yes,No,No,8,5,8.0,Often,Yes,No,Yes
27,Male,Student,4,5,Casual,Yes,Yes,No,7,5,7.2,Often,Yes,No,Yes
23,Female,Social Worker,2,3,Simulation,Yes,Yes,Yes,3,7,7.7,Always,Yes,No,Yes
22,Female,Special Ed Teacher,4,3,FPS,Yes,Yes,Yes,7,2,6.1,Often,No,No,Yes
21,Male,Student,7,5,Battle Royale,Yes,No,No,3,1,3.3,Often,No,Yes,Yes
21,Male,Psychology Student,1,6,FPS,Yes,No,No,10,5,5.9,Sometimes,Yes,Yes,Yes
23,Male,Delivery Driver,2,7,Racing,No,No,Yes,10,7,4.6,Never,Yes,No,No
21,Male,Intern,3,7,Casual,Yes,No,Yes,3,5,8.4,Often,No,Yes,Yes
18,Female,College Dropout,3,4,Strategy,Yes,Yes,No,2,6,5.0,Often,Yes,No,Yes
21,Male,Construction Lead,1,5,Sports,Yes,Yes,Yes,6,9,7.8,Never,Yes,No,Yes
18,Male,Vet Tech,8,4,Puzzle,No,Yes,Yes,7,6,7.3,Sometimes,Yes,No,Yes
17,Male,Graphic Designer,3,1,Strategy,Yes,Yes,No,9,6,6.7,Often,Yes,No,Yes
20,Female,Lawyer,2,6,Sports,Yes,No,Yes,5,2,6.0,Often,Yes,No,Yes
23,Female,Warehouse Manager,4,7,Simulation,No,No,Yes,8,9,5.3,Never,Yes,No,Yes
20,Other,Chemistry Major,2,4,RPG,Yes,Yes,Yes,6,7,4.9,Often,No,No,Yes
21,Male,Doctor,2,6,MMO,No,No,No,3,3,2.0,Often,Yes,Yes,Yes
22,Male,Student,1,5,Racing,Yes,Yes,No,5,10,5.9,Often,No,Yes,Yes
22,Female,HS Junior,5,6,Educational,No,Yes,No,8,1,5.6,Sometimes,Yes,Yes,Yes
18,Male,Art Student,6,6,Strategy,No,Yes,No,5,4,7.7,Always,No,No,Yes
21,Male,Business in Import export ,1,1,Strategy,No,No,No,10,8,7.0,Rarely,Yes,Yes,Yes
24,Female,High School Student,4,6,Strategy,No,Yes,Yes,6,5,5.2,Always,Yes,No,Yes
19,Prefer not to say,Student,6,3,Other,Yes,Yes,No,6,1,5.8,Often,Yes,Yes,Yes
19,Male,Marketing Coordinator,3,5,Casual,Yes,Yes,Yes,6,6,8.1,Sometimes,Yes,No,Yes
23,Male,Student,2,6,Action,Yes,Yes,Yes,2,1,5.7,Often,Yes,Yes,Yes
18,Male,Psychology Student,3,4,Sports,Yes,Yes,Yes,6,9,6.1,Often,Yes,No,Yes
18,Male,Real Estate Developer,4,7,Simulation,Yes,Yes,Yes,3,6,8.0,Often,Yes,Yes,Yes
26,Male,Vet Tech,1,6,MMO,No,Yes,Yes,8,8,8.1,Never,Yes,No,Yes
24,Female,Rideshare Driver FT,1,3,Sports,Yes,No,Yes,8,5,6.3,Often,Yes,Yes,Yes
20,Male,Student,4,1,Sports,Yes,Yes,No,6,6,5.5,Sometimes,No,Yes,Yes
23,Male,HS Senior,3,6,Casual,Yes,No,Yes,2,4,5.8,Never,No,No,Yes
27,Male,Plumber,4,7,Adventure,Yes,Yes,Yes,4,8,6.1,Often,No,No,Yes
18,Male,Student,6,5,Action,Yes,No,Yes,8,4,4.2,Never,No,No,Yes
18,Male,Marketing Director,3,6,Action,No,No,No,9,1,5.8,Often,No,No,Yes
24,Male,Student,10,4,FPS,No,No,No,8,7,8.3,Rarely,Yes,Yes,Yes
26,Female,Delivery Driver,2,4,MOBA,Yes,No,No,9,1,5.5,Never,Yes,Yes,Yes
19,Male,Student,1,7,Sports,Yes,Yes,Yes,9,1,6.8,Sometimes,Yes,Yes,Yes
19,Male,Freelancer,1,6,Strategy,Yes,Yes,No,9,3,5.6,Always,No,No,Yes
24,Male,Security Officer,1,7,FPS,Yes,Yes,No,10,6,5.2,Sometimes,Yes,No,Yes
23,Male,Security Guard,8,3,Adventure,Yes,No,No,5,8,5.3,Often,Yes,Yes,Yes
19,Female,Student,3,6,Strategy,No,Yes,Yes,10,6,6.0,Never,Yes,Yes,Yes
24,Male,Network Administrator,4,4,Educational,Yes,No,No,9,6,5.1,Rarely,No,Yes,Yes
20,Male,College Athlete,4,4,Casual,Yes,No,No,3,5,7.2,Always,No,Yes,Yes
18,Female,Barista,8,2,Sports,Yes,No,No,5,9,8.4,Never,No,No,Yes
17,Female,Aerospace Engineer,4,1,Sports,Yes,No,No,3,9,5.9,Often,No,No,Yes
20,Female,Construction Apprentice,2,1,Multiplayer,No,Yes,No,8,4,7.1,Never,No,Yes,Yes
20,Male,Graphic Designer,3,7,RPG,Yes,Yes,No,7,5,6.0,Never,Yes,Yes,Yes
25,Male,Registered Nurse,7,6,Simulation,Yes,No,Yes,8,6,7.2,Often,Yes,Yes,Yes
18,Female,Student,1,6,Simulation,Yes,No,No,5,4,8.4,Always,No,Yes,Yes
22,Prefer not to say,Student,4,6,Sports,No,Yes,Yes,8,1,7.8,Rarely,Yes,No,Yes
17,Male,HS Junior,8,6,MMO,Yes,Yes,No,8,6,5.8,Sometimes,No,Yes,Yes
18,Female,Student,4,4,Puzzle,Yes,Yes,Yes,5,4,5.8,Sometimes,Yes,No,Yes
19,Female,Behavioral Neuroscience,3,5,Simulation,Yes,Yes,No,7,7,6.0,Often,No,No,Yes
17,Male,Student,4,2,Puzzle,Yes,Yes,Yes,4,6,4.2,Often,No,No,Yes
22,Male,Student,4,7,RPG,Yes,Yes,Yes,8,4,6.1,Sometimes,Yes,No,Yes
23,Male,Student,3,2,Multiplayer,No,Yes,Yes,10,2,5.2,Often,Yes,No,Yes
24,Female,Marketing Coordinator,4,4,FPS,Yes,Yes,No,3,2,4.6,Often,No,Yes,Yes
22,Male,HVAC Technician,1,5,Action,Yes,Yes,No,3,2,8.0,Never,Yes,Yes,Yes
20,Female,Robotics Engineer,3,5,Action,Yes,No,No,7,5,5.9,Rarely,No,No,Yes
24,Male,Student,4,3,Action,Yes,Yes,No,3,7,1.9,Sometimes,Yes,No,Yes
20,Male,Data Scientist,8,5,Puzzle,Yes,No,Yes,6,1,6.1,Often,Yes,No,Yes
18,Male,Landscape Architect,9,7,Multiplayer,Yes,No,Yes,9,4,4.2,Sometimes,Yes,No,Yes
26,Male,Network Administrator,2,3,Puzzle,Yes,Yes,No,3,4,5.4,Often,Yes,No,Yes
22,Male,Graphic Designer,6,5,Other,No,Yes,Yes,6,6,8.1,Always,Yes,No,Yes
20,Female,Warehouse Worker,2,6,Racing,Yes,No,No,6,6,3.6,Sometimes,Yes,Yes,Yes
26,Female,Psychology Student,6,1,RPG,Yes,No,No,8,5,7.0,Often,No,Yes,Yes
23,Male,Student,4,5,Casual,Yes,Yes,No,4,6,6.3,Often,Yes,Yes,Yes
24,Male,Student,5,2,Puzzle,Yes,Yes,No,5,4,7.2,Often,Yes,Yes,Yes
18,Male,Childcare Worker,2,5,FPS,Yes,Yes,Yes,3,4,7.0,Sometimes,Yes,No,Yes
21,Female,Veterinarian,1,1,FPS,No,Yes,Yes,4,9,5.0,Often,No,Yes,Yes
24,Male,Student,2,5,Other,No,Yes,Yes,6,5,6.2,Rarely,Yes,No,Yes
20,Female,College Student,2,2,Strategy,Yes,Yes,Yes,3,5,5.3,Rarely,No,Yes,Yes
19,Male,Mechanic,2,6,Puzzle,Yes,No,No,8,8,4.1,Never,Yes,No,Yes
22,Male,Journalism Student,4,2,Racing,Yes,No,No,6,4,8.3,Sometimes,Yes,Yes,Yes
23,Female,Biology Researcher,4,1,RPG,No,No,Yes,8,8,6.3,Never,Yes,No,Yes
21,Male,Brand Strategist,3,5,FPS,Yes,No,Yes,7,6,7.9,Sometimes,No,No,Yes
18,Female,Student,3,3,MMO,Yes,Yes,No,6,2,4.2,Always,Yes,No,Yes
18,Prefer not to say,Nurse,5,6,Casual,Yes,Yes,Yes,3,8,5.4,Never,No,Yes,Yes
25,Male,Drink,5,6,Visual Novel,Yes,Yes,No,5,8,6.0,Often,Yes,No,Yes
22,Male,Student,3,5,Racing,Yes,No,Yes,5,8,6.0,Rarely,No,Yes,Yes
17,Male,HS Senior,5,1,FPS,Yes,Yes,No,6,8,5.4,Always,Yes,Yes,Yes
19,Female,Student,7,7,Strategy,Yes,Yes,No,3,7,6.1,Never,Yes,Yes,Yes
19,Prefer not to say,Student,4,7,Puzzle,Yes,No,Yes,7,7,7.0,Often,Yes,Yes,Yes
19,Female,Journalism Student,6,7,Puzzle,Yes,No,Yes,6,8,6.3,Often,Yes,Yes,Yes
19,Female,Pharmacy Tech,1,4,FPS,Yes,No,No,8,2,5.7,Often,No,Yes,Yes
20,Female,Intern,4,6,Racing,Yes,No,No,3,8,5.6,Sometimes,No,Yes,Yes
26,Male,Graphic Artist,2,5,Strategy,No,No,No,9,8,7.1,Often,No,Yes,Yes
21,Female,Dental Office Manager,2,3,Adventure,No,No,No,6,1,6.2,Never,Yes,No,Yes
22,Male,Student,2,4,Simulation,Yes,Yes,Yes,10,9,5.0,Often,Yes,Yes,No
18,Female,HVAC Technician,2,4,Visual Novel,Yes,No,No,4,5,5.7,Sometimes,No,Yes,Yes
22,Male,Neuroscience Researcher,6,7,Sports,Yes,No,Yes,7,6,6.3,Always,Yes,Yes,Yes
17,Female,Nurse Anesthetist,8,7,Battle Royale,Yes,Yes,No,10,2,8.4,Often,No,Yes,Yes
23,Female,Unemployed,5,4,Racing,No,No,Yes,5,1,6.8,Never,No,No,Yes
22,Male,IT Director,3,6,Multiplayer,Yes,No,Yes,7,4,5.9,Sometimes,Yes,No,Yes
21,Female,Fast Food Worker,5,6,Simulation,Yes,No,Yes,3,4,5.3,Often,Yes,Yes,Yes
21,Female,Lawyer,7,5,Strategy,Yes,Yes,No,9,5,7.1,Often,Yes,Yes,Yes
20,Male,Student,4,5,FPS,No,Yes,Yes,3,1,6.2,Often,No,No,Yes
22,Male,Student,6,6,Strategy,Yes,Yes,No,6,1,2.8,Always,Yes,Yes,Yes
23,Other,Graphic Artist,4,7,FPS,Yes,Yes,Yes,6,6,3.5,Sometimes,Yes,No,Yes
28,Male,Student,4,6,Casual,Yes,Yes,No,9,5,6.1,Often,Yes,Yes,Yes
19,Prefer not to say,Student,3,4,Puzzle,Yes,Yes,No,10,2,6.1,Rarely,Yes,No,Yes
22,Female,Student,2,2,Other,Yes,Yes,No,3,4,8.0,Sometimes,No,No,Yes
18,Female,Real Estate Developer,5,7,Multiplayer,Yes,Yes,No,7,5,6.0,Rarely,Yes,No,Yes
21,Female,Preschool Director,8,4,Simulation,Yes,No,Yes,5,7,5.7,Never,Yes,Yes,Yes
27,Male,Child Development Prof,5,5,MMO,Yes,Yes,No,2,5,5.0,Often,No,Yes,Yes
21,Female,Student,3,5,Puzzle,Yes,No,Yes,6,6,8.1,Rarely,Yes,No,Yes
17,Female,High School Student,1,6,Casual,Yes,Yes,No,8,8,2.4,Always,Yes,Yes,Yes
28,Male,Student,4,6,Puzzle,Yes,No,No,10,6,5.1,Often,Yes,No,Yes
17,Prefer not to say,Nursing Assistant,4,6,Creative,Yes,No,Yes,6,1,5.9,Sometimes,Yes,Yes,Yes
23,Female,College Athlete,3,3,Strategy,Yes,Yes,Yes,7,8,5.8,Rarely,Yes,No,Yes
27,Prefer not to say,Student,2,4,Puzzle,No,Yes,Yes,7,6,8.1,Often,Yes,No,Yes
21,Prefer not to say,Intern,4,6,Simulation,Yes,No,Yes,5,5,6.2,Sometimes,No,Yes,No
22,Female,Construction Supervisor,6,5,Racing,Yes,Yes,Yes,9,8,3.8,Never,Yes,Yes,Yes
21,Female,Computer Engineering,3,5,Action,Yes,No,Yes,2,4,8.3,Sometimes,No,Yes,Yes
19,Female,Student,2,5,Simulation,Yes,No,Yes,6,6,5.4,Rarely,Yes,No,Yes
21,Female,Physician Assistant,4,5,Simulation,No,Yes,Yes,8,2,6.2,Never,No,Yes,Yes
20,Female,Marketing Director,4,7,Simulation,No,Yes,No,7,3,6.2,Sometimes,Yes,Yes,Yes
21,Female,Student,1,6,Simulation,Yes,No,No,9,6,6.3,Sometimes,Yes,No,Yes
22,Female,Cashier,7,1,Action,Yes,Yes,Yes,8,1,6.0,Sometimes,Yes,No,Yes
20,Male,Student,2,6,Educational,Yes,Yes,Yes,2,7,6.1,Often,No,No,Yes
20,Female,Engineering Student,6,4,Simulation,Yes,Yes,Yes,6,4,8.5,Sometimes,Yes,Yes,Yes
18,Female,Student,4,1,MMO,Yes,No,No,5,5,5.3,Rarely,No,Yes,Yes
19,Male,Student,1,1,Educational,Yes,Yes,No,6,6,4.1,Always,Yes,No,Yes
21,Male,Student,1,7,FPS,No,Yes,No,7,5,6.0,Sometimes,Yes,Yes,Yes
23,Male,Construction Director,1,2,Fitness,Yes,No,No,8,7,7.0,Never,No,Yes,Yes
22,Male,Student,7,3,MMO,Yes,No,No,6,7,8.1,Sometimes,No,Yes,Yes
17,Male,Student,4,6,Racing,No,No,No,2,2,6.3,Rarely,Yes,Yes,Yes
17,Male,Computer Engineering,4,4,Puzzle,Yes,Yes,Yes,5,7,7.3,Always,No,No,Yes
23,Male,Student,1,6,Simulation,Yes,Yes,Yes,3,5,6.8,Often,No,No,Yes
23,Female,Delivery Driver,2,2,Puzzle,Yes,No,Yes,7,3,6.0,Often,Yes,Yes,Yes
22,Female,Student,4,1,Simulation,Yes,Yes,No,7,8,3.6,Often,No,No,Yes
17,Male,Financial Planner,1,3,Battle Royale,Yes,No,Yes,10,5,3.9,Sometimes,Yes,Yes,Yes
27,Male,AI Research Assistant,5,6,RPG,Yes,Yes,No,9,8,7.0,Never,No,No,Yes
28,Female,Student,8,4,FPS,Yes,No,No,10,8,8.0,Often,No,No,Yes
22,Female,Student,4,5,Battle Royale,Yes,Yes,Yes,7,6,7.0,Often,Yes,No,Yes
21,Male,Student,1,6,Educational,Yes,Yes,No,9,4,4.2,Sometimes,No,Yes,Yes
22,Male,High School Senior,1,3,Adventure,Yes,Yes,Yes,6,4,5.7,Sometimes,Yes,Yes,Yes
22,Male,Student,6,6,RPG,Yes,No,No,3,6,8.5,Never,Yes,No,Yes
21,Male,Software Developer,5,1,Battle Royale,Yes,Yes,Yes,7,5,4.9,Sometimes,Yes,No,Yes
20,Male,HS Junior,4,2,Puzzle,No,No,No,10,8,6.0,Sometimes,Yes,No,Yes
23,Male,Accountant,2,4,Sports,No,Yes,No,7,6,6.0,Sometimes,Yes,No,Yes
21,Male,Systems Administrator,5,2,Multiplayer,Yes,No,Yes,8,7,7.0,Rarely,No,No,Yes
23,Male,Graphic Designer,2,6,FPS,Yes,Yes,Yes,9,6,5.9,Often,Yes,Yes,Yes
28,Male,Student,4,7,Other,Yes,No,Yes,7,1,4.7,Often,No,Yes,Yes
23,Female,HVAC Technician,2,6,Puzzle,Yes,Yes,No,3,4,6.1,Never,No,Yes,Yes
23,Male,IT Consultant,6,7,Simulation,No,Yes,Yes,9,7,6.2,Always,Yes,No,Yes
22,Female,Pharmacy Tech,7,6,Casual,Yes,No,Yes,2,6,6.0,Rarely,Yes,Yes,Yes
19,Male,Student,2,6,Creative,Yes,Yes,No,6,7,6.0,Always,No,No,Yes
19,Female,Student,5,6,Strategy,Yes,No,Yes,7,2,6.2,Sometimes,Yes,Yes,Yes
22,Female,Student,5,7,Simulation,Yes,No,Yes,4,6,6.1,Always,No,Yes,Yes
20,Male,Delivery Driver,5,7,Strategy,Yes,Yes,No,2,7,4.2,Often,Yes,No,Yes
21,Male,Art Gallery Intern,2,6,Racing,No,No,Yes,4,7,8.3,Often,No,No,Yes
19,Male,Student,1,4,Battle Royale,Yes,Yes,Yes,2,6,6.2,Often,Yes,No,Yes
18,Prefer not to say,Dental Assistant,5,7,FPS,Yes,Yes,Yes,3,5,6.2,Sometimes,Yes,No,Yes
29,Male,Student,5,6,Simulation,Yes,No,Yes,2,4,6.1,Always,Yes,No,Yes
21,Female,Delivery Driver,3,5,Educational,Yes,No,No,3,7,5.6,Never,No,Yes,Yes
25,Male,Pediatric Nurse Prac,3,1,Action,Yes,Yes,Yes,4,6,7.0,Rarely,Yes,No,Yes
23,Male,Barista,4,6,Sports,Yes,No,No,5,1,4.8,Never,Yes,No,Yes
23,Female,Student,3,4,Action,Yes,No,No,4,6,6.3,Never,Yes,No,Yes
18,Prefer not to say,Computer Science Major,6,5,Battle Royale,Yes,Yes,Yes,7,6,7.8,Always,Yes,Yes,Yes
22,Male,Software Engineer,1,6,Battle Royale,Yes,No,No,9,4,6.1,Rarely,Yes,No,Yes
26,Female,Student,5,6,Casual,Yes,Yes,No,5,5,8.1,Sometimes,No,No,Yes
17,Female,College Freshman,7,6,Sports,Yes,Yes,Yes,5,7,5.7,Sometimes,Yes,No,Yes
19,Male,Student,3,6,Sports,Yes,Yes,Yes,5,9,5.0,Sometimes,Yes,Yes,Yes
20,Male,Student,3,6,Casual,No,No,Yes,9,2,6.1,Often,Yes,No,Yes
22,Female,Cognitive Scientist,7,7,Action,No,No,Yes,5,2,8.7,Often,No,Yes,Yes
17,Male,Fine Arts Major,3,6,Puzzle,Yes,Yes,No,4,3,5.8,Never,Yes,No,Yes
19,Prefer not to say,Delivery Manager,3,4,MMO,Yes,No,Yes,5,5,7.2,Sometimes,Yes,No,Yes
21,Prefer not to say,Pharmacy Tech,5,3,Battle Royale,Yes,Yes,No,8,4,6.2,Often,Yes,No,Yes
22,Male,Marketing Specialist,5,6,Racing,No,No,No,8,6,7.0,Sometimes,No,No,Yes
20,Prefer not to say,Construction Apprentice,4,5,Action,Yes,Yes,Yes,3,5,7.1,Rarely,Yes,No,Yes
20,Female,Plumber,1,5,Racing,Yes,Yes,Yes,6,4,3.2,Sometimes,Yes,Yes,Yes
17,Female,Student,2,2,Sports,Yes,No,No,5,5,3.7,Sometimes,No,No,Yes
28,Male,Special Needs Teacher,1,6,FPS,Yes,No,No,2,6,6.3,Sometimes,Yes,No,Yes
17,Prefer not to say,Student,6,6,Racing,Yes,Yes,Yes,9,8,5.9,Often,Yes,No,Yes
23,Male,Software Engineer,7,4,Action,Yes,Yes,Yes,8,7,6.2,Never,Yes,Yes,No
17,Male,Student,4,4,Casual,Yes,No,No,8,8,4.1,Sometimes,No,Yes,Yes
24,Male,Supply Chain Director,1,3,Sports,Yes,Yes,No,7,3,6.1,Sometimes,No,Yes,Yes
17,Male,Psychology Student,6,5,Action,Yes,No,No,9,7,8.6,Always,Yes,No,Yes
19,Prefer not to say,Student,3,3,Action,Yes,Yes,No,3,3,7.9,Often,Yes,No,Yes
21,Male,Student,5,6,Racing,Yes,Yes,Yes,8,5,7.9,Often,Yes,No,Yes
18,Male,Student,3,7,Strategy,Yes,Yes,Yes,7,10,6.2,Always,Yes,No,Yes
17,Female,Student,4,2,Casual,Yes,Yes,Yes,10,8,5.9,Never,No,No,No
22,Male,Engineer,4,5,FPS,Yes,Yes,Yes,2,2,3.3,Never,Yes,No,Yes
19,Male,Landscape Architect,6,2,Strategy,Yes,No,Yes,9,5,7.2,Never,Yes,Yes,Yes
21,Female,Landscaping Crew,7,4,Action,Yes,No,No,2,4,5.9,Sometimes,Yes,No,Yes
25,Female,Psychology Student,5,2,Simulation,Yes,Yes,No,7,5,5.7,Never,No,No,Yes
20,Female,Freelancer,1,4,Simulation,Yes,Yes,No,9,3,6.1,Often,Yes,Yes,Yes
23,Female,Landscaping Crew,9,7,FPS,Yes,Yes,No,8,1,6.0,Rarely,Yes,No,Yes
20,Other,Computer Engineering,4,5,MOBA,Yes,No,Yes,9,3,6.1,Often,Yes,Yes,Yes
22,Female,Barista,2,6,RPG,Yes,Yes,No,10,4,6.2,Always,No,No,Yes
22,Male,Student,6,6,Simulation,No,No,No,8,6,8.1,Always,No,Yes,Yes
22,Female,Employee Relations Spec,4,4,Battle Royale,Yes,No,Yes,6,5,5.4,Rarely,Yes,Yes,Yes
18,Female,Student,1,3,Puzzle,Yes,Yes,Yes,7,6,6.1,Sometimes,No,No,Yes
18,Male,Music Store Clerk,4,4,Strategy,Yes,Yes,No,5,8,6.3,Sometimes,No,No,Yes
23,Male,Landscaping Crew,7,5,Simulation,Yes,Yes,Yes,3,7,6.4,Sometimes,Yes,No,Yes
27,Female,Student,2,5,Racing,Yes,Yes,No,2,4,7.8,Rarely,No,Yes,Yes
21,Male,High School Sophomore,4,6,Simulation,Yes,Yes,No,5,7,8.1,Sometimes,Yes,No,Yes
27,Female,Software Engineer,4,6,Battle Royale,Yes,No,Yes,10,6,7.1,Often,Yes,No,Yes
25,Female,IT Support Specialist,1,4,Educational,No,No,Yes,6,6,5.3,Often,Yes,Yes,Yes
19,Female,College Student,2,6,Simulation,Yes,Yes,No,8,8,6.1,Often,No,Yes,Yes
22,Male,Student,2,2,FPS,No,Yes,Yes,4,6,5.3,Often,No,No,Yes
19,Female,Factory Supervisor,1,6,Simulation,Yes,Yes,No,5,4,5.9,Never,No,No,Yes
22,Male,Construction Supervisor,2,5,Battle Royale,Yes,Yes,No,6,1,8.4,Rarely,No,Yes,Yes
20,Male,IT Support,2,5,Simulation,Yes,No,Yes,9,6,8.2,Always,No,Yes,Yes
21,Male,Marketing Coordinator,6,1,Sports,Yes,Yes,Yes,7,7,8.5,Often,Yes,Yes,Yes
19,Male,Landscaping Crew Lead,7,5,FPS,Yes,No,No,10,1,5.4,Sometimes,Yes,Yes,Yes
18,Male,Student,4,6,Strategy,Yes,No,Yes,2,4,6.0,Often,Yes,Yes,Yes
20,Female,Preschool Director,5,4,Racing,Yes,No,No,2,6,6.0,Never,Yes,Yes,Yes
24,Prefer not to say,Intern,1,6,MMO,Yes,Yes,No,8,1,5.1,Often,Yes,Yes,Yes
22,Male,Student,1,2,Racing,Yes,No,Yes,3,8,7.3,Never,No,No,Yes
25,Male,Software Engineer,5,6,Action,Yes,No,Yes,2,6,4.9,Often,No,Yes,Yes
20,Female,Art Gallery Intern,4,3,Sports,Yes,Yes,Yes,9,6,7.2,Often,No,Yes,Yes
25,Male,Student,6,5,FPS,Yes,Yes,Yes,7,2,4.9,Often,Yes,No,Yes
21,Male,Marketing Director,1,6,Action,Yes,Yes,No,9,6,5.1,Sometimes,No,No,Yes
19,Female,Dental Receptionist,2,6,Action,Yes,Yes,No,3,5,6.2,Never,Yes,Yes,Yes
22,Female,Nursing Student,4,4,Racing,Yes,No,No,5,7,6.2,Often,No,Yes,Yes
20,Male,Student,6,7,MMO,Yes,Yes,No,5,2,6.1,Always,No,No,Yes
20,Female,Student,5,3,Simulation,No,Yes,Yes,5,7,8.4,Often,Yes,No,Yes
19,Male,Student,2,4,Sports,Yes,Yes,Yes,5,8,6.0,Often,No,Yes,Yes
20,Prefer not to say,Landscaping Crew,5,2,Casual,Yes,Yes,Yes,3,6,6.3,Often,Yes,Yes,Yes
17,Male,Student,1,7,Action,Yes,Yes,Yes,3,4,6.0,Often,No,No,Yes
24,Male,Student,1,6,Puzzle,Yes,Yes,Yes,7,2,5.0,Often,Yes,Yes,Yes
22,Female,Warehouse Supervisor,1,3,FPS,Yes,Yes,Yes,8,7,5.3,Never,Yes,Yes,Yes
20,Male,Student,8,6,Racing,Yes,Yes,Yes,7,8,4.7,Often,Yes,No,Yes
28,Male,Student,7,6,Strategy,Yes,Yes,No,6,7,6.3,Never,Yes,No,Yes
20,Female,Nurse,6,6,Strategy,Yes,Yes,Yes,7,1,4.8,Often,Yes,Yes,Yes
26,Female,Preschool Teacher,1,4,Simulation,Yes,No,Yes,10,1,5.6,Often,Yes,No,Yes
17,Female,HVAC Business Owner,1,3,Adventure,Yes,Yes,No,9,1,8.2,Always,Yes,No,Yes
22,Male,Student,2,7,Other,Yes,No,Yes,5,4,5.6,Sometimes,Yes,No,Yes
19,Female,Student,1,6,Creative,No,No,Yes,5,8,8.4,Sometimes,Yes,No,Yes
17,Male,Sales Associate,7,7,Multiplayer,Yes,Yes,No,5,7,7.0,Rarely,No,No,Yes
21,Male,Student,5,3,FPS,Yes,Yes,Yes,6,1,1.4,Sometimes,Yes,No,Yes
22,Female,Student,3,7,Racing,Yes,No,Yes,2,8,5.6,Rarely,No,No,Yes
26,Male,Nurse Practitioner,2,2,Action,No,No,Yes,6,4,4.8,Often,Yes,No,Yes
20,Male,Landscape Architect,2,6,Simulation,Yes,Yes,No,9,6,6.0,Often,Yes,No,Yes
19,Male,Marketing Director,4,3,Sports,Yes,Yes,Yes,5,6,5.7,Sometimes,Yes,Yes,Yes
22,Male,Student,1,6,FPS,Yes,Yes,Yes,8,5,4.9,Sometimes,Yes,No,Yes
23,Female,Student,6,2,Strategy,Yes,Yes,No,5,4,8.2,Often,Yes,Yes,Yes
18,Prefer not to say,Chief Technology Officer,3,4,Battle Royale,Yes,No,Yes,6,6,6.9,Sometimes,Yes,Yes,Yes
21,Male,Student,1,5,Educational,Yes,No,Yes,3,8,6.4,Often,Yes,Yes,Yes
18,Male,Manager,5,2,Racing,No,No,No,8,6,8.0,Often,No,No,Yes
25,Female,Drink,4,5,Puzzle,Yes,Yes,No,6,5,8.4,Often,Yes,No,Yes
19,Female,Delivery Driver,9,3,Simulation,Yes,No,Yes,5,1,5.9,Always,Yes,Yes,Yes
21,Male,Nurse Practitioner,2,6,Educational,Yes,Yes,No,4,6,6.2,Sometimes,No,Yes,Yes
23,Female,Fast Food Employee,5,3,FPS,Yes,Yes,Yes,8,6,4.1,Always,Yes,No,Yes
